question_id,question,gt_ans,base_ans,moe_ans
20609175,"which is less healthy, the whipped cream or the strawberry?",whipped cream,strawberry,whipped cream
201391832,what is the device that the man that is not sad holds?,wii controller,controller,wii controller
20183235,how old is the person in the bottom part of the image?,old,young,old
201887054,what is in front of the vehicle in the top of the photo?,table,basket,table
20241172,what is the plate made of?,porcelain,glass,porcelain
201803715,are the artwork and the couch the same color?,no,yes,no
201047424,"which type of clothing is not ugly, the suit or the dress shirt?",suit,dress shirt,suit
202041968,do you see door that is not closed?,no,yes,no
201143182,what kind of furniture is hard?,chairs,chair,chairs
201342366,"on which side is the white truck, the left or the right?",left,right,left
201482336,is the bag that looks brown sitting on top of a towel?,no,yes,no
20786209,what is the color of the container?,orange,red,orange
202082179,is the monitor to the left or to the right of the tall lamp?,left,right,left
201682381,does the wrist band made of cloth look black or red?,red,black,red
20183008,on which side of the image is the purse?,left,right,left
201976505,what color does the license plate have?,white,yellow,white
201873675,is the flag that is to the left of the bucket white or blue?,blue,white,blue
201434245,which kind of device is above the pavement?,phone,cell phone,phone
20733990,the trees are surrounding what?,sand,beach,sand
201175686,is the mirror both small and clean?,no,yes,no
201462407,does the white jersey look dirty?,no,yes,no
201621315,is that picture frame white and high?,no,yes,no
20982537,who is standing at the table?,woman,people,woman
201766010,is the dirt behind the beach dirty and dark brown?,yes,no,yes
201509795,what is in front of the green wall?,motorcycle,flowers,motorcycle
201570645,what type of material is the cabinet made of?,glass,wood,glass
201982741,is the happy man behind a coffee table?,yes,no,yes
20341174,what are the doors on the front of the school made of?,metal,glass,metal
201047191,are the metal glasses clean and black?,yes,no,yes
20385288,what material is the calculator that is to the right of the charger made of?,plastic,metal,plastic
201676339,what does she hold?,controller,wii controller,controller
20715746,what is the weight of the fine sand?,heavy,light,heavy
20434839,who is sitting?,boy,man,boy
20149623,what shape is the brown thing in the cabinet?,square,rectangle,square
20785906,what is the fire hydrant in front of?,cone,tree,cone
201623784,are the cabinets below the stove wooden and open?,no,yes,no
201556510,how large do you think is the desk the office chair is next to?,small,large,small
201883195,what kind of furniture is to the right of the lamp above the table?,bed,desk,bed
20631691,who is standing before the catcher?,batter,umpire,batter
202133575,who is wearing the shirt?,skateboarder,man,skateboarder
202265827,does the shoe look low and black?,no,yes,no
201434069,does the watch look black and narrow?,yes,no,yes
20611554,is this container large or small?,large,small,large
201510418,are there any knives that are clean in the picture?,yes,no,yes
202023304,what is the piece of furniture behind the bed?,closet,chair,closet
201663704,what pieces of furniture are to the left of the dishwasher?,drawers,cabinets,drawers
201235672,what are the fruits on top of the basket?,bananas,apples,bananas
201143241,are the chairs near the flowers comfortable or uncomfortable?,uncomfortable,comfortable,uncomfortable
201882885,what is the device on top of the desk that is to the right of the bed called?,television,phone,television
20171085,is the long pen white and thin?,no,yes,no
20984562,do you see cars to the right of the black van?,yes,no,yes
20618748,what material is used to make the tennis rackets in front of the people?,metal,plastic,metal
202248875,is the sidewalk made of the same material as the building?,no,yes,no
20818695,what is the person on the home plate doing?,playing,waiting,playing
201796090,who is holding the brown basket?,woman,girl,woman
201997571,what is around the table the ceiling is above?,chairs,windows,chairs
202161927,are both the window and the heater made of the same material?,no,yes,no
201080374,is the lamp that is not turned-on silver and tall?,yes,no,yes
201935188,what is in front of the lamp?,tree,bush,tree
20516144,what do you think are the busy people watching?,train,bus,train
2066026,who is holding the baseball mitt?,boy,girl,boy
